class_name,id_num,AR,EC,HS,LT,MS,MS*,PSA,PSI,RP
BIOL_SCI,104,0,0,0,0,1,0,0,0,0
BIOL_SCI,105,0,0,0,0,1,0,0,0,0
BIOL_SCI,109,0,0,0,0,1,0,0,0,0
BIOL_SCI,115,0,0,0,0,1,0,0,0,0
BIOL_SCI,116,0,0,0,0,1,0,0,0,0
BIOL_SCI,116,0,0,0,0,1,0,0,0,0
BIOL_SCI,215,0,0,0,0,1,0,0,0,0
BIOL_SCI,216,0,0,0,0,1,0,0,0,0
BIOL_SCI,217,0,0,0,0,1,0,0,0,0
BIOL_SCI,218,0,0,0,0,1,0,0,0,0
BIOL_SCI,220,0,0,0,0,1,0,0,0,0
BIOL_SCI,221,0,0,0,0,1,0,0,0,0
BIOL_SCI,222,0,0,0,0,1,0,0,0,0
BIOL_SCI,240,0,0,0,0,1,0,0,0,0
BIOL_SCI,241,0,0,0,0,1,0,0,0,0
BIOL_SCI,302,0,0,0,0,1,0,0,0,0
BIOL_SCI,303,0,0,0,0,1,0,0,0,0
BIOL_SCI,304,0,0,0,0,1,0,0,0,0
BIOL_SCI,305,0,0,0,0,1,0,0,0,0
BIOL_SCI,306,0,0,0,0,1,0,0,0,0
BIOL_SCI,309,0,0,0,0,1,0,0,0,0
BIOL_SCI,310,0,0,0,0,1,0,0,0,0
BIOL_SCI,311,0,0,0,0,1,0,0,0,0
BIOL_SCI,313,0,0,0,0,1,0,0,0,0
BIOL_SCI,315,0,0,0,0,1,0,0,0,0
BIOL_SCI,316,0,0,0,0,1,0,0,0,0
BIOL_SCI,321,0,0,0,0,1,0,0,0,0
BIOL_SCI,322,0,0,0,0,1,0,0,0,0
BIOL_SCI,323,0,0,0,0,1,0,0,0,0
BIOL_SCI,324,0,0,0,0,1,0,0,0,0
BIOL_SCI,325,0,0,0,0,1,0,0,0,0
BIOL_SCI,326,0,0,0,0,1,0,0,0,0
BIOL_SCI,327,0,0,0,0,1,0,0,0,0
BIOL_SCI,330,0,0,0,0,1,0,0,0,0
BIOL_SCI,332,0,0,0,0,1,0,0,0,0
BIOL_SCI,335,0,0,0,0,1,0,0,0,0
BIOL_SCI,341,0,0,0,0,1,0,0,0,0
BIOL_SCI,342,0,0,0,0,1,0,0,0,0
BIOL_SCI,344,0,0,0,0,1,0,0,0,0
BIOL_SCI,346,0,0,0,0,1,0,0,0,0
BIOL_SCI,347,0,0,0,0,1,0,0,0,0
BIOL_SCI,349,0,0,0,0,1,0,0,0,0
BIOL_SCI,350,0,0,0,0,1,0,0,0,0
BIOL_SCI,355,0,0,0,0,1,0,0,0,0
BIOL_SCI,358,0,0,0,0,1,0,0,0,0
BIOL_SCI,361,0,0,0,0,1,0,0,0,0
BIOL_SCI,378,0,0,0,0,1,0,0,0,0
BIOL_SCI,380,0,0,0,0,1,0,0,0,0
BIOL_SCI,390,0,0,0,0,1,0,0,0,0
